ID,Date,Open,High,Low,Close,Volume,Complete,Created_at,Updated_at
80352,"2024-04-23 06:55:00",154.826,154.826,154.825,154.825,3,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80353,"2024-04-23 06:56:00",154.825,154.828,154.814,154.815,13,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80354,"2024-04-23 06:57:00",154.815,154.815,154.814,154.814,1,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80355,"2024-04-23 06:58:00",154.814,154.82,154.814,154.819,4,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80356,"2024-04-23 06:59:00",154.819,154.82,154.819,154.82,3,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80357,"2024-04-23 07:00:00",154.82,154.822,154.792,154.799,69,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80358,"2024-04-23 07:01:00",154.799,154.8,154.792,154.796,38,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80359,"2024-04-23 07:02:00",154.796,154.8,154.792,154.798,87,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80360,"2024-04-23 07:03:00",154.798,154.798,154.796,154.796,5,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80361,"2024-04-23 07:04:00",154.796,154.8,154.794,154.794,32,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80362,"2024-04-23 07:05:00",154.794,154.807,154.794,154.802,60,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
